year,month,dasarian_num,ET0_dasarian_mm_dasarian,hujan_dasarian_mm,GWETROOT
2009,2,1,31.81365505,94.81,0.977
2009,2,2,33.81322812,38.83,0.942
2009,2,3,26.25748622,50.09,0.92125
2009,3,1,36.97748876,56.96,0.9
2009,3,2,39.19817382,138.59,0.93
2009,3,3,40.94587685,98.63,0.93
2009,4,1,35.53274315,181.93,0.9560000000000001
2009,4,2,36.3163031,124.22,0.984
2009,4,3,39.75657574,91.43,0.967
2009,5,1,32.61521678,69.99,0.958
2009,5,2,32.6379901,55.81,0.958
2009,5,3,45.45619768,3.25,0.9054545454545455
2009,6,1,33.2200637,82.37,0.8870000000000001
2009,6,2,33.53700443,45.61,0.8880000000000001
2009,6,3,32.54536323,86.64,0.868
2009,7,1,34.52065763,51.33,0.898
2009,7,2,32.71063533,33.33,0.8699999999999999
2009,7,3,39.04086877,38.7,0.8390909090909091
2009,8,1,36.4028589,7.5,0.787
2009,8,2,32.37678906,59.98,0.772
2009,8,3,37.16039203,27.61,0.7345454545454545
2009,9,1,34.05530939,64.48,0.724
2009,9,2,36.16120024,97.26,0.738
2009,9,3,37.63352651,19.19,0.742
2009,10,1,32.23734024,117.82,0.783
2009,10,2,38.10173734,108.65,0.834
2009,10,3,42.28557722,34.38,0.8227272727272728
2009,11,1,38.51960195,37.74,0.772
2009,11,2,33.51606129,186.26,0.849
2009,11,3,34.91601121,105.89,0.8949999999999999
2009,12,1,32.6146563,127.58,0.917
2009,12,2,35.258958,92.5,0.931
2009,12,3,35.53881758,176.11,0.9481818181818181
2010,1,1,30.97235047,52.28,0.95
2010,1,2,31.5507998,79.83,0.943
2010,1,3,38.41266837,69.1,0.920909090909091
2010,2,1,36.31719509,55.03,0.913
2010,2,2,33.01245332,189.1,0.944
2010,2,3,30.38474808,142.25,0.97625
2010,3,1,33.08856015,113.29,0.9650000000000001
2010,3,2,35.50646838,82.78,0.975
2010,3,3,37.92422762,160.82,0.979090909090909
2010,4,1,36.60309654,140.94,0.984
2010,4,2,37.96460444,65.45,0.962
2010,4,3,38.60945279,78.45,0.9380000000000001
2010,5,1,36.06767731,87.88,0.924
2010,5,2,29.5605834,69.41,0.922
2010,5,3,38.97389362,56.87,0.91
2010,6,1,32.60969644,122.91,0.933
2010,6,2,33.77897994,26.61,0.915
2010,6,3,32.79636153,40.64,0.901
2010,7,1,29.18282118,88.22,0.8960000000000001
2010,7,2,31.98762348,94.49,0.9269999999999999
2010,7,3,35.23673107,91.18,0.9245454545454546
2010,8,1,32.88477158,93.1,0.9339999999999999
2010,8,2,31.28413109,130.93,0.958
2010,8,3,41.92358607,25.31,0.94
2010,9,1,32.82979551,97.92,0.9369999999999999
2010,9,2,38.33253138,41.7,0.909
2010,9,3,37.90879597,266.47,0.9550000000000001
2010,10,1,36.36057281,223.6,0.9869999999999999
2010,10,2,37.87913627,67.92,0.966
2010,10,3,36.61154394,210.71,0.9763636363636364
2010,11,1,33.37678204,91.95,0.969
2010,11,2,33.41534816,158.81,0.984
2010,11,3,33.67394313,131.39,0.982
2010,12,1,32.65220465,131.08,0.983
2010,12,2,32.48857513,85.14,0.9709999999999999
2010,12,3,39.86225319,77.97,0.9527272727272728
2011,1,1,33.60164134,169.05,0.9400000000000001
2011,1,2,35.4918864,7.34,0.9390000000000001
2011,1,3,35.51315079,98.4,0.920909090909091
2011,2,1,35.87587729,36.57,0.9099999999999999
2011,2,2,40.1662644,29.36,0.868
2011,2,3,30.32202225,46.19,0.8374999999999999
2011,3,1,33.64496267,77.27,0.8379999999999999
2011,3,2,35.31347466,98.37,0.8800000000000001
2011,3,3,38.16731274,78.51,0.9009090909090909
2011,4,1,35.04201158,164.78,0.898
2011,4,2,36.74622135,67.39,0.9390000000000001
2011,4,3,34.22947793,126.76,0.946
2011,5,1,35.34947393,60.25,0.9650000000000001
2011,5,2,33.6245007,37.54,0.9369999999999999
2011,5,3,37.09991024,64.74,0.9081818181818182
2011,6,1,33.37765565,148.44,0.9490000000000001
2011,6,2,33.16638629,12.82,0.923
2011,6,3,31.21934966,135.09,0.8960000000000001
2011,7,1,31.46620429,38.18,0.9200000000000002
2011,7,2,31.10587463,66.23,0.913
